symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,LH_LL_CONTINUATION,1.24065,1.24215,1.23740,0.850,2025-01-31 13:20,2025-01-31 14:25,1.24215,SL_HIT,-15.00,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,155.60400,155.36280,155.33600,0.900,2025-02-03 09:50,2025-02-03 11:05,155.36280,TRAILED_SL,15.05,1.25,LONDON_OPEN,NEUTRAL,True,,True,2,True,2.67
GBPJPY,SELL,LH_LL_CONTINUATION,193.06000,193.05101,191.84950,0.850,2025-02-04 10:00,2025-02-04 11:00,192.98600,GIVEBACK_GUARD,13.74,15.29,LONDON_OPEN,BUY,True,,True,0,True,27.16
GBPUSD,SELL,LH_LL_CONTINUATION,1.24864,1.24862,1.24720,0.850,2025-02-06 07:35,2025-02-06 09:35,1.24720,TP_HIT,8.64,36.00,LONDON_OPEN,BUY,True,,True,0,True,49.17
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,151.74400,151.59000,149.69047,0.990,2025-02-07 15:40,2025-02-07 17:00,151.59000,TRAILED_SL,15.40,0.19,LONDON_CLOSE,SELL,True,,False,1,False,0.00
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.24365,1.24485,1.22648,0.850,2025-02-07 15:40,2025-02-07 17:45,1.24485,SL_HIT,-12.00,-0.17,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,153.67900,153.48900,154.67259,0.950,2025-02-12 09:55,2025-02-12 11:50,153.48900,SL_HIT,-19.00,-0.48,LONDON_OPEN,BUY,True,,False,1,False,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,154.11600,154.11805,154.90339,0.950,2025-02-13 09:10,2025-02-13 10:25,154.11805,TRAILED_SL,2.54,0.08,LONDON_OPEN,BUY,True,,True,1,True,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,192.17500,192.17126,191.53150,0.750,2025-02-13 17:00,2025-02-13 18:45,191.86500,GIVEBACK_GUARD,16.88,45.19,LONDON_CLOSE,BUY,True,,True,0,True,138.90
GBPUSD,SELL,LH_LL_CONTINUATION,1.25846,1.25845,1.25757,0.750,2025-02-14 12:00,2025-02-14 12:10,1.25846,GIVEBACK_GUARD,1.63,12.00,NY_OPEN,BUY,True,,True,0,True,2.13
GBPJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,189.18000,189.19385,190.26983,0.950,2025-02-20 15:30,2025-02-20 16:30,189.08000,GIVEBACK_GUARD,12.62,9.11,LONDON_CLOSE,NEUTRAL,True,,True,0,True,9.17
USDJPY,SELL,LH_LL_CONTINUATION,150.36800,150.41600,150.25300,0.850,2025-02-21 14:20,2025-02-21 14:40,150.41600,SL_HIT,-4.80,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,189.55000,189.54392,188.54650,0.750,2025-02-25 13:45,2025-02-25 14:45,189.45600,GIVEBACK_GUARD,11.06,18.18,NY_OPEN,NEUTRAL,True,,True,0,True,45.24
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,149.61000,149.60550,148.69424,1.000,2025-02-26 16:20,2025-02-26 16:35,149.46300,GIVEBACK_GUARD,11.28,25.07,LONDON_CLOSE,SELL,True,,True,0,True,60.44
USDJPY,SELL,LH_LL_CONTINUATION,149.27700,149.33500,149.13450,0.950,2025-02-27 07:40,2025-02-27 07:45,149.33500,SL_HIT,-5.80,-1.00,LONDON_OPEN,NEUTRAL,True,,False,0,False,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,149.80700,149.81100,151.55015,0.850,2025-02-27 15:40,2025-02-27 18:40,149.81100,TRAILED_SL,4.96,0.07,LONDON_CLOSE,NEUTRAL,True,,True,1,True,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,189.89300,190.10500,188.40350,0.950,2025-03-10 13:30,2025-03-10 13:45,190.10500,SL_HIT,-21.20,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,193.92200,193.92608,193.56500,0.850,2025-03-24 09:00,2025-03-24 09:15,193.92608,SL_HIT,-0.41,-1.00,LONDON_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,194.32800,194.37598,194.10900,0.850,2025-03-24 16:00,2025-03-24 16:15,194.37598,SL_HIT,-4.80,-1.00,LONDON_CLOSE,NEUTRAL,True,,False,0,False,0.00
GBPJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,188.05300,187.76800,189.06009,1.000,2025-04-10 14:30,2025-04-10 15:15,187.76800,SL_HIT,-28.50,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,189.12700,189.24500,188.63350,0.900,2025-04-15 09:45,2025-04-15 10:00,189.24500,SL_HIT,-11.80,-1.00,LONDON_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,187.72400,187.94100,187.00850,0.950,2025-04-22 08:45,2025-04-22 09:15,187.94100,SL_HIT,-21.70,-1.00,LONDON_OPEN,SELL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,188.83400,189.00400,188.30000,0.900,2025-04-23 12:30,2025-04-23 12:45,189.00400,SL_HIT,-17.00,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,189.28900,189.37600,188.79850,0.750,2025-04-23 17:00,2025-04-23 17:15,189.37600,SL_HIT,-8.70,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,192.45800,192.59900,191.82050,0.850,2025-05-09 09:00,2025-05-09 10:30,192.59900,SL_HIT,-14.10,-1.00,LONDON_OPEN,BUY,True,,False,0,False,0.00
