symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp1_price,pnl_pips,exit_reason,partial_taken
GBPJPY,CONTINUATION_OB,SELL,,2025-01-09 14:45:00+00:00,2025-01-09 19:05:00+00:00,193.908,194.511246,194.511246,,-60.32460000000128,SL_HIT,False
GBPJPY,FVG_CONTINUATION,SELL,,2025-01-10 13:30:00+00:00,2025-01-10 15:40:00+00:00,194.525,193.92,194.28738900000002,,52.71331999999916,GIVEBACK_GUARD,True
GBPJPY,CONTINUATION_OB,SELL,,2025-01-13 13:30:00+00:00,2025-01-13 22:15:00+00:00,190.772,192.021276,192.021276,,-124.9276000000009,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2025-01-14 16:30:00+00:00,2025-01-14 20:55:00+00:00,191.977,192.90604199999999,192.90604199999999,,-92.90419999999813,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2025-01-15 16:15:00+00:00,2025-01-15 18:30:00+00:00,191.818,191.15691999999999,191.15691999999999,,-66.10800000000268,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2025-01-16 14:00:00+00:00,2025-01-16 18:15:00+00:00,190.372,190.038,191.270778,,33.40000000000032,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,BUY,,2025-01-17 13:45:00+00:00,2025-01-17 17:10:00+00:00,189.874,190.396,188.94235799999998,,52.199999999999136,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-01-21 06:15:00+00:00,2025-01-21 23:45:00+00:00,190.761,191.98319999999998,191.98319999999998,,-122.21999999999866,SL_HIT,False
GBPJPY,FVG_CONTINUATION,BUY,,2025-01-23 08:00:00+00:00,2025-01-23 18:10:00+00:00,192.79,192.356516,192.356516,,-43.34839999999929,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2025-01-24 08:00:00+00:00,2025-01-24 11:45:00+00:00,192.637,193.244,191.668894,,60.69999999999993,GIVEBACK_GUARD,False
GBPJPY,FVG_CONTINUATION,BUY,,2025-01-24 15:15:00+00:00,2025-01-24 16:55:00+00:00,193.944,194.387,194.181357,,46.20283999999913,GIVEBACK_GUARD,True
GBPJPY,FVG_CONTINUATION,BUY,,2025-01-27 08:45:00+00:00,2025-01-27 09:30:00+00:00,194.226,193.76968399999998,193.76968399999998,,-45.63160000000153,SL_HIT,False
GBPJPY,FVG_CONTINUATION,SELL,,2025-01-29 15:45:00+00:00,2025-01-29 19:20:00+00:00,192.677,193.162554,193.162554,,-48.55540000000076,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2025-01-30 15:30:00+00:00,2025-01-31 00:05:00+00:00,191.754,191.408,192.531294,,34.600000000000364,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-01-31 13:30:00+00:00,2025-01-31 17:00:00+00:00,192.011,191.646,192.752736,,36.50000000000091,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-03 06:00:00+00:00,2025-02-03 12:00:00+00:00,191.055,190.666,192.00023399999998,,38.900000000001,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2025-02-03 13:30:00+00:00,2025-02-03 15:15:00+00:00,190.435,191.243724,191.243724,,-80.87239999999838,SL_HIT,False
